epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,455.353,0.43608,0.48153,0.47669,1.02053,0.96349,0.83793,0.94766,0.70253,0.96349,0.83793,0.94766,0.7031,0.92987,0.91022,1.23338,1.65551,0.0017921,0.0017921,0.0017921
107,459.97,0.50282,0.71717,0.53783,1.0607,0.58523,0.85111,0.81225,0.5022,0.58523,0.85111,0.81249,0.69515,0.89384,0.62346,1.32171,1.27561,0.00179012,0.00179012,0.00179012
108,464.559,0.42371,0.59936,0.50527,0.99841,0.9669,0.9275,0.98456,0.77873,0.9669,0.9275,0.98456,0.85044,0.83604,0.65512,1.07934,1.13662,0.00178814,0.00178814,0.00178814
109,469.469,0.40215,0.59575,0.42946,1.00211,0.91147,0.98055,0.94401,0.68961,0.91147,0.98055,0.94401,0.77997,0.69991,0.60177,0.9618,1.00284,0.00178616,0.00178616,0.00178616
110,474.238,0.44112,0.61063,0.45383,0.99533,0.70941,0.96877,0.91289,0.60275,0.70941,0.96877,0.91289,0.66582,0.82755,0.64783,1.20411,1.11755,0.00178418,0.00178418,0.00178418
111,478.842,0.45481,0.6265,0.47723,1.02575,0.98306,1,0.99141,0.59343,0.98306,1,0.99141,0.68917,1.1989,0.76379,1.09512,1.32537,0.0017822,0.0017822,0.0017822
112,483.603,0.4273,0.73273,0.46688,1.00976,0.92619,0.99589,0.98606,0.89381,0.92619,0.99589,0.98606,0.57246,0.56656,1.4068,0.81761,0.91198,0.00178022,0.00178022,0.00178022
113,488.272,0.43584,0.54758,0.45429,0.98722,0.83769,0.90476,0.91723,0.73315,0,0,0,0,0.59936,4.2277,1.11378,0.93179,0.00177824,0.00177824,0.00177824
114,492.95,0.40241,0.58147,0.44639,0.94824,0.95492,0.84127,0.94302,0.82898,0,0,0,0,0.49907,6.42561,1.01332,0.92372,0.00177626,0.00177626,0.00177626
115,497.647,0.42621,0.64169,0.45362,0.97802,0.95314,0.96851,0.98188,0.8405,0,0,0,0,0.59547,6.28627,0.81895,1.52743,0.00177428,0.00177428,0.00177428
116,502.244,0.4625,0.76795,0.47856,1.02271,0.97601,0.93651,0.93966,0.84507,0,0,0,0,0.61164,6.25314,0.91839,1.35576,0.0017723,0.0017723,0.0017723
117,506.784,0.45867,0.6537,0.45583,1.04854,0.86936,0.90476,0.94241,0.82687,0,0,0,0,0.62135,5.66998,0.96833,1.01965,0.00177032,0.00177032,0.00177032
118,511.451,0.44589,0.56024,0.4586,1.02483,0.89209,0.91854,0.97027,0.87978,0,0,0,0,0.42195,6.38128,0.70121,0.91991,0.00176834,0.00176834,0.00176834
119,516.086,0.38474,0.62042,0.40408,0.99453,0.93254,0.92063,0.97538,0.88565,0,0,0,0,0.4215,7.14153,0.67193,0.88199,0.00176636,0.00176636,0.00176636
120,520.618,0.44087,0.63122,0.44135,1.01637,0.90474,0.92063,0.96678,0.87215,0,0,0,0,0.41872,7.98703,0.96612,0.86198,0.00176438,0.00176438,0.00176438
121,525.19,0.4938,0.66124,0.44059,1.04152,0.99074,0.92063,0.95634,0.86297,0,0,0,0,0.40993,11.756,1.26424,0.82557,0.0017624,0.0017624,0.0017624
122,529.817,0.45711,0.67551,0.4275,1.01517,0.95014,0.92063,0.95795,0.88657,0,0,0,0,0.49578,14.5904,1.26187,0.99207,0.00176042,0.00176042,0.00176042
123,534.275,0.47323,0.72664,0.42839,1.06739,0.98341,0.84127,0.94183,0.82318,0,0,0,0,0.56951,19.6587,1.03296,1.0295,0.00175844,0.00175844,0.00175844
124,538.436,0.46822,0.69077,0.48443,1.02745,0.96349,0.85714,0.94091,0.82548,0,0,0,0,0.57674,24.5225,0.83757,0.94829,0.00175646,0.00175646,0.00175646
125,542.711,0.49178,0.6107,0.45397,1.03925,0.84627,0.87384,0.90664,0.73902,0,0,0,0,0.71009,31.4157,1.12509,1.01309,0.00175448,0.00175448,0.00175448
126,546.881,0.45633,0.65093,0.44611,1.02808,0.28391,0.80952,0.31684,0.25258,0,0,0,0,0.88985,30.2533,2.56958,1.15165,0.0017525,0.0017525,0.0017525
127,551.007,0.45705,0.64811,0.41461,1.02865,0.27203,0.74603,0.25887,0.18332,0,0,0,0,1.14643,27.2969,4.931,1.51173,0.00175052,0.00175052,0.00175052
128,555.129,0.44967,0.63056,0.43629,1.01294,0.27245,0.77778,0.26358,0.19388,0,0,0,0,0.94815,22.2208,4.54027,1.36858,0.00174854,0.00174854,0.00174854
129,559.623,0.45116,0.58767,0.44347,1.02862,0.39847,0.7619,0.38613,0.3353,0.19338,0.34921,0.07476,0.01028,0.62777,8.09455,3.14534,0.97817,0.00174656,0.00174656,0.00174656
